City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,tamanrasset,22.785,5.5228,69.71,21,0,10.36,DZ,1730073293
299,waingapu,-9.6567,120.2641,83.37,73,8,5.14,ID,1730073294
300,iskateley,67.6803,53.1512,31.62,91,98,10.16,RU,1730073295
301,oregon,44.0001,-120.5014,43.39,48,80,18.1,US,1730073297
302,broome,42.2506,-75.833,43.65,56,68,2.33,US,1730073298
303,las palmas,28.4204,-14.0131,65.19,73,0,16.11,ES,1730073299
304,andratx,39.5755,2.4202,67.44,92,100,12.57,ES,1730073300
305,jaipur,26.9167,75.8167,70.92,68,0,1.14,IN,1730073301
306,quibala,-10.7337,14.98,64.42,96,100,1.95,AO,1730073303
307,utrik,11.2278,169.8474,82.99,78,98,8.08,MH,1730073304
308,strezhevoy,60.7333,77.5889,33.62,93,100,2.68,RU,1730073305
309,ath thawrah,35.8469,38.5443,61.09,34,0,5.95,SY,1730073306
310,namibe,-15.1961,12.1522,65.26,84,31,4.52,AO,1730073307
311,la villa del rosario,10.3258,-72.3134,78.26,87,67,10.22,VE,1730073309
312,akureyri,65.6835,-18.0878,22.93,86,0,8.05,IS,1730073310
313,ta`u,-14.2336,-169.5144,80.46,83,41,16.98,AS,1730073311
314,troitsko-pechorsk,62.7084,56.1964,30.9,92,96,4.54,RU,1730073312
315,swakopmund,-22.6833,14.5333,56.98,77,73,1.01,NA,1730073313
316,lorengau,-2.0226,147.2712,84.45,79,18,11.48,PG,1730073316
317,afzalpur,17.2,76.35,71.31,67,28,1.59,IN,1730073317
318,beihai,21.4833,109.1,68.27,71,100,24.85,CN,1730073318
319,marsa alam,25.0757,34.8918,74.39,47,0,9.15,EG,1730073319
320,idanre,7.1127,5.1159,73.9,87,52,0.89,NG,1730073320
321,brady,31.1352,-99.3351,86.45,28,0,6.91,US,1730073106
322,bubaque,11.2833,-15.8333,82.18,78,74,10.78,GW,1730073324
323,ghadamis,30.1337,9.5007,74.35,30,82,5.14,LY,1730073327
324,saint george's,12.0564,-61.7485,83.88,79,20,6.91,GD,1730073328
325,andalgala,-27.5819,-66.3165,72.79,41,0,6.64,AR,1730073330
326,dedovichi,57.5517,29.9502,45.39,92,100,7.29,RU,1730073331
327,lubang,13.8584,120.124,83.12,77,54,12.24,PH,1730073332
328,coahuayana de hidalgo,18.7,-103.6583,81.81,79,0,2.62,MX,1730073333
329,buala,-8.145,159.5921,84.54,75,94,10.31,SB,1730073334
330,roxas,11.5853,122.7511,82.2,76,94,11.74,PH,1730073335
331,yerofey pavlovich,53.9667,121.9667,23.41,75,57,1.21,RU,1730073337
332,folkston,30.8305,-82.0098,73.02,78,44,1.01,US,1730073339
333,tommot,58.9564,126.2925,15.12,94,98,1.23,RU,1730073340
334,vila franca do campo,37.7167,-25.4333,66.61,99,85,6.38,PT,1730073341
335,sogne,58.0833,7.8167,48.69,87,33,14.2,NO,1730073342
336,zakynthos,37.7914,20.8953,66.96,63,0,4.36,GR,1730073345
337,susuman,62.7833,148.1667,2.44,92,100,2.33,RU,1730073346
338,al jahra',29.3375,47.6581,68.38,17,0,12.24,KW,1730073348
339,mount isa,-20.7333,139.5,91.17,18,20,11.5,AU,1730073349
340,vylkove,45.4021,29.586,52.48,89,7,9.44,UA,1730073350
341,kapa'a,22.0752,-159.319,84.52,76,40,17.27,US,1730073352
